dataset,weight_type,reg_type,alpha,feats_weighting,lr,n_epochs,verbose,full_score,partial_score
Spam,avg,max,2.0,True,0.01,300,False,0.9649122953414917,0.9602339208126068 +- 0.007420223011782183
Iris,avg,max,2.0,True,0.01,300,False,0.8666666746139526,0.8499999791383743 +- 0.0288675117388434
Banknote,avg,max,2.0,True,0.01,300,False,0.9309090971946716,0.8654545545578003 +- 0.0601375854203985
Accent,avg,max,2.0,True,0.01,300,False,0.7575757503509521,0.7146464586257935 +- 0.019396838771283533
Wine,avg,max,2.0,True,0.01,300,False,0.5346938967704773,0.5220779288898815 +- 0.007774518130821308
Wifi,avg,max,2.0,True,0.01,300,False,0.9750000238418579,0.9646428568022591 +- 0.01190953550228768
Sonar,avg,max,2.0,True,0.01,300,False,0.8095238208770752,0.8182539661725362 +- 0.015653233085603624
Breast,avg,max,2.0,True,0.01,300,False,0.9561403393745422,0.9619883060455322 +- 0.006133392936959736
Parkinson,avg,max,2.0,True,0.01,300,False,0.8717948794364929,0.8648018728603016 +- 0.011419531919730594
