,full_score_avg_fw,partial_score_mean_avg_fw,partial_score_std_avg_fw,full_score_loss_fw,partial_score_mean_loss_fw,partial_score_std_loss_fw
Parkinson,0.8461538553237915,0.843,0.014,0.8717948794364929,0.869,0.007
Wine,0.5530612468719482,0.533,0.01,0.5642856955528259,0.545,0.014
Accent,0.7121211886405945,0.699,0.034,0.6666666865348816,0.653,0.042
Breast,0.9736841917037964,0.973,0.006,0.9561403393745422,0.959,0.008
Spam,0.9736841917037964,0.974,0.006,0.9736841917037964,0.969,0.006
Sonar,0.8095238208770752,0.817,0.016,0.8333333134651184,0.83,0.018
Banknote,1.0,0.865,0.078,0.996363639831543,0.872,0.077
Wifi,0.9750000238418579,0.964,0.015,0.9750000238418579,0.966,0.018
Iris,0.9333333373069763,0.825,0.15,0.9333333373069763,0.883,0.069
