,0
Spam,0.9657894736842103 +- 0.008873678892101462
Iris,0.7833333333333333 +- 0.20344259359556172
Banknote,0.7390909090909091 +- 0.17333624706175724
Accent,0.7020202020202021 +- 0.06378449969856106
Wine,0.5630797773654916 +- 0.05140820742285878
Wifi,0.8939285714285715 +- 0.11295429814481497
Ecoli,0.7058823529411764 +- 0.09498029038199425
Sonar,0.7924603174603173 +- 0.023039806931737766
Breast,0.9657894736842103 +- 0.008873678892101462
HTRU2,0.9630935754189944 +- 0.023465115969731012
Parkinson,0.8484848484848487 +- 0.034495684351861886
